First Name,Middle Name,Last Name,Phonetic First Name,Phonetic Middle Name,Phonetic Last Name,Name Prefix,Name Suffix,Nickname,File As,Organization Name,Organization Title,Organization Department,Birthday,Notes,Photo,Labels,E-mail 1 - Label,E-mail 1 - Value,E-mail 2 - Label,E-mail 2 - Value,E-mail 3 - Label,E-mail 3 - Value,Phone 1 - Label,Phone 1 - Value,Phone 2 - Label,Phone 2 - Value,Phone 3 - Label,Phone 3 - Value,Phone 4 - Label,Phone 4 - Value,Phone 5 - Label,Phone 5 - Value,Address 1 - Label,Address 1 - Formatted,Address 1 - Street,Address 1 - City,Address 1 - PO Box,Address 1 - Region,Address 1 - Postal Code,Address 1 - Country,Address 1 - Extended Address,Address 2 - Label,Address 2 - Formatted,Address 2 - Street,Address 2 - City,Address 2 - PO Box,Address 2 - Region,Address 2 - Postal Code,Address 2 - Country,Address 2 - Extended Address,Address 3 - Label,Address 3 - Formatted,Address 3 - Street,Address 3 - City,Address 3 - PO Box,Address 3 - Region,Address 3 - Postal Code,Address 3 - Country,Address 3 - Extended Address,Relation 1 - Label,Relation 1 - Value,Relation 2 - Label,Relation 2 - Value,Relation 3 - Label,Relation 3 - Value,Relation 4 - Label,Relation 4 - Value,Relation 5 - Label,Relation 5 - Value,Relation 6 - Label,Relation 6 - Value,Relation 7 - Label,Relation 7 - Value,Website 1 - Label,Website 1 - Value,Event 1 - Label,Event 1 - Value,Event 2 - Label,Event 2 - Value,Custom Field 1 - Label,Custom Field 1 - Value,Custom Field 2 - Label,Custom Field 2 - Value,Custom Field 3 - Label,Custom Field 3 - Value,Custom Field 4 - Label,Custom Field 4 - Value,Custom Field 5 - Label,Custom Field 5 - Value,Custom Field 6 - Label,Custom Field 6 - Value
Elias,Serafim,Pereira,,,,,,,,Go Happy Transportation,Go Happy Driver,,1963-09-24,"Street address line 2: Apt. 6
Custom Field 1 - Label: CDL #
Custom Field 1 - Value: E2160095
Custom Field 2 - Label: DL_Exp
Custom Field 2 - Value: 9/24/2028
Custom Field 3 - Label: Contract Date
Custom Field 3 - Value: 8/10/2021
Custom Field 4 - Label: CDL_St_of_Issue
Custom Field 4 - Value: CA
Custom Field 5 - Label: License_Zip_Code
Custom Field 5 - Value: 94901
Custom Field 6 - Label: Vehicle_Year
Custom Field 6 - Value: 2024
Custom Field 7 - Label: Vehicle_Make
Custom Field 7- Value: Toyota
Custom Field 8 - Label: Vehicle_Model
Custom Field 8- Value: Camry
Custom Field 9 - Label: Vehicle_Color
Custom Field 9- Value: Grey
Custom Field 10 - Label: Vehicle_Plate No
Custom Field 10- Value: 9LTC517
Custom Field 11 - Label: Vehicle_VIN #
Custom Field 11 Value: JTEAAAAH5RJ171888
",,Imported on 11/24 3 ::: * myContacts,* Other,eliasserafim@icloud.com,,,,,Home,415-629-7102,,,,,,,,,Home,"550 D Street
San Rafael, CA 94901",550 D Street,San Rafael,,CA,94901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elizabeth,,Brown,,,,,,,,Eliza Brown-Lewin Parent,,,,,,* myContacts,,,,,,,Main,4154250958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elizabeth,,Brown-Lewin,,,,,,,,Grant Grover,,,2005-05-06,,,GHT RIDERS 2025/26 ::: Imported on 11/24 1 ::: * myContacts,,,,,,,Mom 2 Mobile,415-425-0958,Mom Janet Mobile,415-265-9154,School Office,415 312-6377,Teacher Ruth Jensen,415-499-5872,,,Home,"929 W California Ave
Mill Valley, CA 94941-4449
US","929 W California Ave
Mill Valley, CA 94941-4449
US",,,,,,,Grant Grover School,"730 College Ave
Kentfield, CA 94904-2532
US","730 College Ave
Kentfield, CA 94904-2532
US",,,,,,,,,,,,,,,,Rider,Eliza Brown-Lewin,Mom 1 ,Elizabeth Brown,Mom 2,Janet Lewin,Teacher,Ruth Jansen,,,,,,,,,,,,,Rider FirstNm,Eliza,Rider LastNm,Brown-Lewin,Job Title,Eliza Brown-Lewin Parent,,,,,,
Elizabeth,,Brown-Lewin,,,,Eliza Brown-Lewin Parent,,,,Grant Grover,,,2005-05-06,"Rider_FirstNm: Eliza
Rider_LastNm: Brown-Lewin
929 West California Avenue
Mill Valley
94941
",,Imported on 11/19 ::: GO HAPPY RIDERS ::: GHT RIDERS 2025/26 ::: Imported on 11/19 1 ::: * myContacts,,,,,,,Mom Elizabeth Mobile,415-425-0958,Mom Janet Mobile,415-265-9154,Teacher Ruth Jensen,415-499-5872,,,,,Home,"929 W California Ave
Mill Valley, CA 94941-4449
US",929 W California Ave,Mill Valley,,CA,94941-4449,US,,Grant Grover School,"730 College Ave
Kentfield, CA 94904-2532
US",730 College Ave,Kentfield,,CA,94904-2532,US,,,,,,,,,,,Mother,Elizabeth Brown ::: Janet Lewin,Teacher,Ruth Jansen,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elizabeth,,Kernon,,,,,,,,Star Academy - Post HS,,,,,,GHT RIDERS 2025/26 ::: Imported on 11/24 1 ::: * myContacts,,,,,,,Mom Mobile,415-823-1417,School Office,510-786-7552,Post-High School Teacher,925 984-5179,,,,,Home,"626 Northern Ave
Mill Valley, CA 94941-3932
US","626 Northern Ave
Mill Valley, CA 94941-3932
US",,,,,,,,,,,,,,,,,,,,,,,,,Rider,Ben Kernon,Mom,Elizabeth Kernon,Dad,Josh Kernon,,,,,,,,,,,,,,,Rider FirstNm,Ben,Rider LastNm,Kernon,Job Title,Ben Kernon Parent,,,,,,
Elizabeth,,Kernon,,,,Ben Kernon Parent,,,,Star Academy - Post HS,,,,"Rider_FirstNm: Ben
Rider_LastNm: Kernon
626 Northern Ave
Mill Valley
",,Imported on 11/19 ::: GO HAPPY RIDERS ::: GHT RIDERS 2025/26 ::: Imported on 11/19 1 ::: * myContacts,,,,,,,Work Mobile,415-823-1417,,,,,,,,,,"626 Northern Ave
Mill Valley, CA 94941-3932
US",626 Northern Ave,Mill Valley,,CA,94941-3932,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elizabeth,,Murray,,,,,,,,Oak Hill School,,,2008-06-04,,,GHT RIDERS 2025/26 ::: Imported on 11/24 1 ::: * myContacts,,,,,,,Mom 1 Mobile,415-317-6177,Mom 2 Mobile,415-407-7211,School Office,(415) 457-7601 ext 0,Joy Mobile,925-286-1042,Home,415-381-1958,Home,"651 Eastwood Way
Mill Valley, CA 94941-3904
US","651 Eastwood Way
Mill Valley, CA 94941-3904
US",,,,,,,Oak Hill School,"300 Sunny Hills Dr
San Anselmo, CA 94960-1909
US","300 Sunny Hills Dr
San Anselmo, CA 94960-1909
US",,,,,,,,,,,,,,,,Rider,"Edmund ""Neddy"" Murray",Mom 1,"Charlotte	Sanders",Mom 2,"Elizabeth	Murray",,,,,,,,,,,,,,,Rider FirstNm,"Edmund ""Neddy""",Rider LastNm,Murray,Job Title,"Edmund ""Neddy"" Murray Parent",,,,,,
Elizabeth,,Murray,,,,"Edmund ""Neddy"" Murray Parent",,,,Oak Hill School,,,2008-06-04,,,Imported on 11/19 ::: GO HAPPY RIDERS ::: GHT RIDERS 2025/26 ::: Imported on 11/19 1 ::: * myContacts,,,,,,,Mom 1 Mobile,415-317-6177,Mom 2 Mobile,415-407-7211,Home,415-381-1958,,,,,Home,"651 Eastwood Way
Mill Valley, CA 94941-3904
US",651 Eastwood Way,Mill Valley,,CA,94941-3904,US,,Oak Hill School,"300 Sunny Hills Dr
San Anselmo, CA 94960-1909
US",300 Sunny Hills Dr,San Anselmo,,CA,94960-1909,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ella,,Rose,,,,,,,,PM,,,,,,GO HAPPY ALL ::: * myContacts,,,,,,,Main,+13109809461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ellian,,Klien,,,,,,,,UCPNB Cypress School,,,2009-01-09,,,GHT RIDERS 2025/26 ::: Imported on 11/24 1 ::: * myContacts,* Mom Email,ellianklein@gmail.com,,,,,Mom Mobile,415-858-5584,Grandmother 1,415-747-4844,,415 766-9990,Teacher Mobile,707-665-1509,Grandmother 2,415-717-2403,Home,"25 Bella Vista Ave
San Anselmo, CA 94960-2006
US","25 Bella Vista Ave
San Anselmo, CA 94960-2006
US",,,,,,,Cypress School,"3835 Cypress Dr
Petaluma, CA 94954-6965
US","3835 Cypress Dr
Petaluma, CA 94954-6965
US",,,,,,,Grandmother Home,"15 Mariners Cir
San Rafael, CA 94903-5100
US","15 Mariners Cir
San Rafael, CA 94903-5100
US",,,,,,,Rider,Rowan Klein,Mom,Ellian Klien,Grandmother 2,Mimi,Teacher,Morgan Eaken,Grandmother 1,Minnow,,,,,,,,,,,Rider FirstNm,Rowan,Rider LastNm,Klein,Job Title,Rowan Klein Parent,,,,,,
Ellian,,Klien,,,,Rowan Klein Parent,,,,Cypress School,,,2009-01-09,,,Imported on 11/19 ::: GO HAPPY RIDERS ::: GHT RIDERS 2025/26 ::: Imported on 11/19 1 ::: * myContacts,* Mom Email,ellianklein@gmail.com,,,,,Mom Mobile,415-858-5584,Grandmother 1,415-747-4844,Grandmother 2,415-717-2403,,,,,Home,"25 Bella Vista Ave
San Anselmo, CA 94960-2006
US",25 Bella Vista Ave,San Anselmo,,CA,94960-2006,US,,Cypress School,"3835 Cypress Dr
Petaluma, CA 94954-6965
US",3835 Cypress Dr,Petaluma,,CA,94954-6965,US,,Grandmother Home,"15 Mariners Cir
San Rafael, CA 94903-5100
US",15 Mariners Cir,San Rafael,,CA,94903-5100,US,,Grandmother 1,Minnow,Grandmother 2,Mimi,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elliott,McCarten,Shannonhouse,,,,,,,,Go Happy Transportation,Office Manager,,1957-02-24,"Custom Field 1 - Label: CDL #
Custom Field 1 - Value: N7173793
Custom Field 2 - Label: DL_Exp
Custom Field 2 - Value: 2/24/2030
Custom Field 3 - Label: Contract Date
Custom Field 3 - Value: 8/10/2021
Custom Field 4 - Label: CDL_St_of_Issue
Custom Field 4 - Value: CA
Custom Field 5 - Label: License_Zip_Code
Custom Field 5 - Value: 94930
Custom Field 6 - Label: Vehicle_Year
Custom Field 6 - Value: 2023
Custom Field 7 - Label: Vehicle_Make
Custom Field 7- Value: Toyota
Custom Field 8 - Label: Vehicle_Model
Custom Field 8- Value: Prius
Custom Field 9 - Label: Vehicle_Color
Custom Field 9- Value: Blue
Custom Field 10 - Label: Vehicle_Plate No
Custom Field 10- Value: DY63N39
Custom Field 11 - Label: Vehicle_VIN #
Custom Field 11 Value: JTDACAAU8P3000579
",,Imported on 11/24 3 ::: * myContacts,* Other,elliott@gohappycab.com,,,,,Home,628-285-9338,,,,,,,,,Home,"126 Meernaa Ave
Fairfax, CA 94930",126 Meernaa Ave,Fairfax,,CA,94930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elliott,,Shannonhouse,,,,,,,,Go Happy Transportation,Driver,,1957-02-24,"SSN 245-92-7806

Driver_FirstNm: Elliott
Driver_MiddleNm: McCarten
Driver_LastNm: Shannonhouse
Driver_SS#: 245-92-7806
Driver_HmLocation1_Street: 126 Meernaa Ave
Driver_City: Fairfax
Driver_State: CA
Driver_ZIP: 94930
License_Zip_Code: 94930
Driver_Cell: 628-285-9338
Driver_DOB: 2/24/1957
Driver_Age: 67
DL/CDL #: N7173793
DL/CDL_St_of_Issue: CA
Driver_DL_Exp: 2/24/2025
Make: Ford
Model: Fusion
Color: Grey
Plate No: 8FPM340
VIN #: 3FA6P0RU8JR205374
Registration Expiration Date: 8/8/25
Reg_Vehicle_Owner (Y/N): Y
Auto Insurance Company: Farmers Insurance
Policy Number: 522826306
Policy Exp Dates: 11-26-24
",,Imported on 1/19 ::: GO HAPPY DRIVERS ::: * myContacts,* ,elliott@gohappycab.com,,eshannonhouse@gmail.com ::: eshannonhouse@me.com,,,Mobile,(415) 413-7526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elvira,,Lopez,,,,,,,,Hanna Academy,,,2008-07-27,,,GHT RIDERS 2025/26 ::: Imported on 11/24 1 ::: * myContacts,,,,,,,Dad Mobile,415-506-4210,Mom Mobile,415-590-9024,School Office,707-933-2560,,,,,Home,"3 Hathaway Dr #311
Novato, CA 94949
US","3 Hathaway Dr #311
Novato, CA 94949
US",,,,,,,Hanna Academy,"17000 Arnold Dr
Sonoma, CA 95476
US","17000 Arnold Dr
Sonoma, CA 95476
US",,,,,,,,,,,,,,,,Rider,Leivi Lopez,Mom,Elvira Lopez,Stepdad,Roland Lorenzo,,,,,,,,,,,,,,,Rider FirstNm,Leivi,Rider LastNm,Lopez,Job Title,Leivi Lopez Parent,,,,,,
Elvira,,Lopez,,,,Leivi Lopez Parent,,,,Hanna Academy,,,2008-07-27,"Rider_FirstNm: Leivi
Rider_LastNm: Lopez
3 Hathaway Drive
311
Novato
94949
",,Imported on 11/19 ::: GO HAPPY RIDERS ::: GHT RIDERS 2025/26 ::: Imported on 11/19 1 ::: * myContacts,,,,,,,Dad Mobile,415-506-4210,Mom Mobile,415-590-9024,,,,,,,Home,"3 Hathaway Dr #311
Novato, CA 94949
US",3 Hathaway Dr #311,Novato,,CA,94949,US,,Hanna Academy,"17000 Arnold Dr
Sonoma, CA 95476
US",17000 Arnold Dr,Sonoma,,CA,95476,US,,,,,,,,,,,Mom,Elvira Lopez,Stepdad,Roland Lorenzo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emily,,DeGrassi,,,,,,,,Manor Elementary,,,,,,GHT RIDERS 2025/26 ::: Imported on 11/24 1 ::: * myContacts,,,,,,,Mom Mobile,+1 (415) 264-2484,School Office,415.492.3730,Teacher Mobile,415 497-0053,,,,,Home,"182 Meadowcroft Dr
San Anselmo, CA 94960-1507
US","182 Meadowcroft Dr
San Anselmo, CA 94960-1507
US",,,,,,,Manor Elementary School,"150 Oak Manor Dr
Fairfax, CA 94930-1013
US","150 Oak Manor Dr
Fairfax, CA 94930-1013
US",,,,,,,,,,,,,,,,Rider,Will DeGrassi,Mom,Emily DeGrassi,Teacher,Erin Henderson,,,,,,,,,,,,,,,Rider FirstNm,Will,Rider LastNm,DeGrassi,Job Title,Will DeGrassi Parent,,,,,,
Emily,,DeGrassi,,,,Will DeGrassi Parent,,,,Manor Elementary,,,,"Rider_FirstNm: Will
Rider_LastNm: DeGrassi
182 Meadowcroft Drive
San Anselmo
94960
",,Imported on 11/19 ::: GO HAPPY RIDERS ::: GHT RIDERS 2025/26 ::: Imported on 11/19 1 ::: * myContacts,,,,,,,Mom Mobile,+1 (415) 264-2484,,,,,,,,,Home,"182 Meadowcroft Dr
San Anselmo, CA 94960-1507
US",182 Meadowcroft Dr,San Anselmo,,CA,94960-1507,US,,Manor Elementary School,"150 Oak Manor Dr
Fairfax, CA 94930-1013
US",150 Oak Manor Dr,Fairfax,,CA,94930-1013,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emily,,Sims,,,,,,,,Go Happy Cab,Former Driver,,,,,Go Happy - Former Drivers ::: * myContacts,* ,emilysims.concordia@gmail.com,,,,,Main,+14156199787,Mobile,(415) 619-9787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emily,,Wimmer,,,,,,,,Taylor Mom,,,,,,GO HAPPY ALL ::: * myContacts,,,,,,,Mobile,(415) 726-4380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eric,,Jaffe,,,,,,,,Archie Williams High School,,,,,,GHT RIDERS 2025/26 ::: Imported on 11/24 1 ::: * myContacts,* Dad Email,mrericjaffe@gmail.com,,,,,Dad Mobile,415-235-7822,School Office,415 458-3400,,,,,,,Home,"530 Tamalpais Dr
Corte Madera, CA 94925-1564
US","530 Tamalpais Dr
Corte Madera, CA 94925-1564
US",,,,,,,,,,,,,,,,,,,,,,,,,Rider,Milo Jaffee,Mom,Bridget Kavanagh,Dad,"Eric	Jaffe",,,,,,,,,,,,,,,Rider FirstNm,Milo,Rider LastNm,Jaffee,Job Title,Milo Jaffee Parent,,,,,,
Eric,,Jaffe,,,,Milo Jaffee Parent,,,,Archie Williams High School,,,,"Rider_FirstNm: Milo
Rider_LastNm: Jaffee
530 Tamalpais Drive
Corte Madera
94925
",,Imported on 11/19 ::: GO HAPPY RIDERS ::: GHT RIDERS 2025/26 ::: Imported on 11/19 1 ::: * myContacts,* Dad Email,mrericjaffe@gmail.com,,,,,Work Mobile,415-235-7822,,,,,,,,,,"530 Tamalpais Dr
Corte Madera, CA 94925-1564
US",530 Tamalpais Dr,Corte Madera,,CA,94925-1564,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eric,,Schaefer,,,,,,,,Anova Center,,,,,,GHT RIDERS 2025/26 ::: Imported on 11/24 1 ::: * myContacts,* Mom,cao973@gmail.com,Dad,baldmail@gmail.com,,,Dad Mobile,415-828-1112,Mom Mobile,415-202-4012,School Office,707-542-8195,,,,,Home,"35 McAllister Ave
Kentfield, CA 94904-1644
US","35 McAllister Ave
Kentfield, CA 94904-1644
US",,,,,,,Anova Center for Education,"212 Concourse Blvd
Santa Rosa, CA 95403-8210
US","212 Concourse Blvd
Santa Rosa, CA 95403-8210
US",,,,,,,,,,,,,,,,Rider,Milo Schaefer,Mom,Rachel Schaefer,Dad,Eric Schaefer,,,,,,,,,,,,,,,Rider FirstNm,Milo,Rider LastNm,Schaefer,Job Title,Milo Schaefer Parent,,,,,,
Eric,,Schaefer,,,,Milo Schaefer Parent,,,,Anova Center,,,,,,Imported on 11/19 ::: GO HAPPY RIDERS ::: GHT RIDERS 2025/26 ::: Imported on 11/19 1 ::: * myContacts,* Mom,cao973@gmail.com,Dad,baldmail@gmail.com,,,Dad Mobile,415-828-1112,Mom Mobile,415-202-4012 ,,,,,,,Home,"35 McAllister Ave
Kentfield, CA 94904-1644
US",35 McAllister Ave,Kentfield,,CA,94904-1644,US,,Anova Center for Education,"212 Concourse Blvd
Santa Rosa, CA 95403-8210
US",212 Concourse Blvd,Santa Rosa,,CA,95403-8210,US,,,,,,,,,,,Dad,Eric Schaefer,Mom,Rachel Schaefer,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eric,,Sieble,,,,,,,,Ross Valley School,,,,,,School Administrators ::: * myContacts,,,,,,,Main,+14156132156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eric,,Yess Mejia,,,,,,,,The gardner I Really Like,,,,,,* myContacts,,,,,,,Main,4152614561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Erica,,Martin,,,,,,,,Glenwood Elementary School,Office Coordinator,Elementary School District,,,,School Contacts ::: Imported on 11/24 ::: Teachers ::: * myContacts,,,,,,,Main,415 485-2415,Classroom,415 485-2430,,,,,,,School,"25 Castlewood Drive
San Rafael, San Rafael City Schools 94901
USA",25 Castlewood Drive,San Rafael,,San Rafael City Schools,94901,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Client Name,"MCSD, SRHFY",,,,,,,,,,
Erica,,Pereira Cavalcante,,,,,,,,Go Happy Transportation,Driver,,1989-05-13,"Driver_FirstNm: Erica
Driver_LastNm: Pereira Cavalcante
Driver_ITIN: 974-90-3191
Driver_HmLocation1_Street: 380 Channing Way
HmLocation1_Street2: Apt. 374
Driver_City: San Rafael
Driver_State: CA
Driver_ZIP: 94903
License_Zip_Code: 94903
Driver_Cell: 510-890-8138
Driver_DOB: 5/13/1989
Driver_Age: 35
DL/CDL #: Y7134171
DL/CDL_St_of_Issue: CA
Driver_DL_Exp: 5/13/2025
Make: Mitsubishi 
Model: Outlander
Color: White
Plate No: 8SIM524
VIN #: JA4AZ3A39KZ040476
Registration Expiration Date: 3/28/25
Reg_Vehicle_Owner (Y/N): Y
Auto Insurance Company: Farmers
Policy Number: 526439789
Policy Exp Dates: 1-27-25
",,Imported on 1/19 ::: GO HAPPY DRIVERS ::: * myContacts,* Other,erica3006@outlook.com,,,,,Mobile,510-890-8138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Erica,,Purdy,,,,,,,,The Helix School MS,,,2011-12-12,,,GHT RIDERS 2025/26 ::: Imported on 11/24 1 ::: * myContacts,,,,,,,Mom Mobile,415-384-1350,Dad Mobile,212-545-7950,School Office,415 569-5064,,,,,Home - Dad,"30 Meadow Hill Dr
Belvedere Tiburon, CA 94920-1637
US","30 Meadow Hill Dr
Belvedere Tiburon, CA 94920-1637
US",,,,,,,Home - Mom,"944 Greenhill Rd
Mill Valley, CA 94941-3406
US","944 Greenhill Rd
Mill Valley, CA 94941-3406
US",,,,,,,The Helix School,"161 Mitchell Blvd
San Rafael, CA 94903-2068
US","161 Mitchell Blvd
San Rafael, CA 94903-2068
US",,,,,,,Rider,Hudson Purdy,Mom,Erica Oldenski,Dad,Ron Purdy,,,,,,,,,,,,,,,Rider FirstNm,Hudson,Rider LastNm,Purdy,Job Title,Hudson Purdy Parent,,,,,,
Erica,,Purdy,,,,Hudson Purdy Parent,,,,The Helix School MS,,,2011-12-12,,,Imported on 11/19 ::: GO HAPPY RIDERS ::: GHT RIDERS 2025/26 ::: Imported on 11/19 1 ::: * myContacts,,,,,,,Mom Mobile,415-384-1350,Dad Mobile,212-545-7950,School Office,415-569-5056,,,,,Home - Dad,"30 Meadow Hill Dr
Belvedere Tiburon, CA 94920-1637
US",30 Meadow Hill Dr,Belvedere Tiburon,,CA,94920-1637,US,,Home - Mom,"944 Greenhill Rd
Mill Valley, CA 94941-3406
US",944 Greenhill Rd,Mill Valley,,CA,94941-3406,US,,The Helix School,"161 Mitchell Blvd
San Rafael, CA 94903-2068
US",161 Mitchell Blvd,San Rafael,,CA,94903-2068,US,,Mom,Erica Oldenski,Dad,Ron Purdy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Erin,,,,,,,,,,,,,,,,* myContacts,,,,,,,Main,+1 (323) 303-1417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Erin,,Chun,,,,,,,,Archie Williams High School,Brady Chun Mom,,,,,* myContacts,* Mom Email,erincchun@gmail.com,,,,,Mom Mobile,415-999-6834,,,,,,,,,Home,"30 Chevy Chase Ct
Larkspur, CA 94939-2130
US",30 Chevy Chase Ct,Larkspur,,CA,94939-2130,US,,Archie Williams High School,"1327 Sir Francis Drake Blvd
San Anselmo, CA 94960
US",1327 Sir Francis Drake Blvd,San Anselmo,,CA,94960,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Erin,,Conklin,,,,,,,,Mill Valley School District,Director of Human Resources & Special Education,District Office,,,,School Contacts ::: Imported on 11/24 ::: Teachers ::: * myContacts,* Work,econklin@mvschools.org,,,,,Office,415-389-7700 x 7753,,,,,,,,,District Office,"411 Sycamore Avenue
Mill Valley, Marin County 94941
USA",411 Sycamore Avenue,Mill Valley,,Marin County,94941,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Client Name,Mill Valley School District,,,,,,,,,,
Erin,,Giacoppa,,,,,,,,Grant Grover,,,2003-10-09,Michaela MUST be met by staff at school,,GHT RIDERS 2025/26 ::: Imported on 11/24 1 ::: * myContacts,,,,,,,Mom Mobile,415-250-1098,Dad Cell,415-250-1097,School Office,415 312-6377,Teacher Mobile,415-499-5872,Dad Work,415-746-2977,Home,"1893 Mar W St
Belvedere Tiburon, CA 94920-1901
US","1893 Mar W St
Belvedere Tiburon, CA 94920-1901
US",,,,,,,Grant Grover,"730 College Ave
Kentfield, CA 94904-2532
US","730 College Ave
Kentfield, CA 94904-2532
US",,,,,,,,,,,,,,,,Rider,Michaela Giacoppa,Mom,Erin Giacoppa,Dad,Paul Giacoppa,Teacher,Ruth Jansen,,,,,,,,,,,,,Rider FirstNm,Michaela,Rider LastNm,Giacoppa,Job Title,Michaela Giacoppa Parent,,,,,,
Erin,,Giacoppa,,,,Michaela Giacoppa Parent,,,,Grant Grover,,,2003-10-09,"Michaela MUST be met by staff at school
",,Imported on 11/19 ::: GO HAPPY RIDERS ::: GHT RIDERS 2025/26 ::: Imported on 11/19 1 ::: * myContacts,,,,,,,Mom Mobile,415-250-1098,Dad Cell,415-250-1097,Dad Work,415-746-2977,Teacher,415-499-5872,,,Home,"1893 Mar W St
Belvedere Tiburon, CA 94920-1901
US",1893 Mar W St,Belvedere Tiburon,,CA,94920-1901,US,,Grant Grover,"730 College Ave
Kentfield, CA 94904-2532
US",730 College Ave,Kentfield,,CA,94904-2532,US,,,,,,,,,,,Mom,Erin Giacoppa,Dad,Paul Giacoppa,Teacher,Ruth Jansen,,,,,,,,,,,,,,,,,,,,,,,,,,
Erin,,Henderson,,,,,,,,Manor Elementary,SPED Teacher,Elementary School District,,,,School Contacts ::: Imported on 11/24 ::: Teachers ::: * myContacts,,,,,,,Mobile,415 497-0053,,,,,,,,,School,"150 Oak Manor Dr
Fairfax, Ross Valley Schools 94930
USA",150 Oak Manor Dr,Fairfax,,Ross Valley Schools,94930,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Client Name,Novato Unified School District,,,,,,,,,,
Ernest,,Waters,,,,,,,,Compass Academy,,,2008-05-18,,,GHT RIDERS 2025/26 ::: Imported on 11/24 1 ::: * myContacts,,,,,,,Grandfather Mobile,415-306-4539,School Office,415 695-5765,,,,,,,,"160 Shenandoah Pl
San Rafael, CA 94903-2210
US","160 Shenandoah Pl
San Rafael, CA 94903-2210
US",,,,,,,,,,,,,,,,,,,,,,,,,Rider,Brandon Kitterman,Grandmother,Geraldine Kitterman,Grandfather,Ernest Waters,,,,,,,,,,,,,,,Rider FirstNm,Brandon,Rider LastNm,Kitterman,Job Title,Brandon Kitterman Parent,,,,,,
Ernest,,Waters,,,,Brandon Kitterman Parent,,,,Compass Academy,,,,"Rider_FirstNm: Brandon
Rider_LastNm: Kitterman
160 Shannandoah Place
San Rafael
94903
",,Imported on 11/19 ::: GO HAPPY RIDERS ::: GHT RIDERS 2025/26 ::: Imported on 11/19 1 ::: * myContacts,,,,,,,Work Mobile,415-306-4539,,,,,,,,,,"160 Shenandoah Pl
San Rafael, CA 94903-2210
US",160 Shenandoah Pl,San Rafael,,CA,94903-2210,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ernie,,S,,,,,,,,,,,,https://drive.google.com/drive/folders/1LmDXwrBeqv3eJ9tC7ZMfCEUvcCH7FAB_?usp=sharing,,* myContacts,,,,,,,Main,+18479870707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Esmeralda ,,Sanchez Moseley ,,,,,,,,Petaluma City Schools,,,,,,* myContacts,* ,esmoseley@petk12.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
